Resistor	RT1206BRD07390RL	1206	COMMERCIAL	YAGEO	22	NOS	Electronics Component
Resistor	ERA-8AED151V	1206	AEC-Q200	PANASONIC	22	NOS	Electronics Component
Transistor	FMMT597TA	SOT-23	AEC-Q101	DIDOES INCORPORATED	22	NOS	Electronics Component
Transistor	JANTX2N2222AUB	UB	MIL-PRF-19500/255	MICROCHIP	22	NOS	Electronics Component
Resistor	RG3216P-2201-B-T1	1206	AEC-Q200	SUSUMU	21	NOS	Electronics Component
Resistor	RG3216L-102-L-T05	1206	AEC-Q200	SUSUMU	12	NOS	Electronics Component
Resistor	ERA-6AEB202V	0805	AEC-Q200	PANASONIC INDUSTRY	21	NOS	Electronics Component
Varistor	VE1206K201R030	1206	AEC-Q200	KEMET	24	NOS	Electronics Component
Capacitor	CGA9N3X7R1H106K230KB	2220	AEC-Q200	TDK	23	NOS	Electronics Component
Capacitor	500X18W104MV4E	1206	COMMERCIAL	Johanson Dielectrics	23	NOS	Electronics Component
Capacitor	KVF500L475M55NHT00	2220	AEC-Q200	CHEMI-CON	24	NOS	Electronics Component
Capacitor	CGA5L3X8R1H105K160AD	1206	AEC-Q200	TDK	45	NOS	Electronics Component
Capacitor	KTS500B156M55N0T00	2220	AEC-Q201	CHEMI-CON	24	NOS	Electronics Component
TVS DIODE	MSMBG40CA	DO-215AA	MIL-PRF-19500	MICROSEMI	24	NOS	Electronics Component
TVS DIODE	MSMBJ13CA	DO-214AA	MIL-PRF-19500	MICROSEMI	75	NOS	Electronics Component
Common Mode Chokes	PLT5BPH3013R7SNL	-	AEC-Q200	Murata	28	NOS	Electronics Component
FIXED INDUCTOR	MLZ2012N220LT000	0805	COMMERCIAL	TDK	301	NOS	Electronics Component
Resistor	ERJ-UP3J6R2V	0603	AEC-Q200	PANASONIC INDUSTRY	24	NOS	Electronics Component
Resistor	ERJ-UP3J3R6V	0603	AEC-Q200	PANASONIC INDUSTRY	24	NOS	Electronics Component
TVS Diode	MSMLJ40CAE3	DO-214AB	MIL-PRF-19500	MICROSEMI	55	NOS	Electronics Component
TVS Diode	MSMCJ17CA	DO-214AB	MIL-PRF-19500	MICROSEMI	21	NOS	Electronics Component
TVS DIODE	MSMBJ13CA	DO-214AA	MIL-PRF-19500	MICROSEMI	75	NOS	Electronics Component
RANGE SPRING	STD - PART	MUSIC WIRE	ASTM A228/ MS24585-1039	LEE SPRINGS	8	NOS	Mechanical Component (Boughtout)
ACTATING SHEET (0.076 mm thick 20cm X 20cm)	MB2K-I5-8000-014-000	SS347	nan	ADA	2	NOS	Raw Material (Boughtout)
SEALING O RING	MB2K-I5-8000-011-000	RUBBER	VITON	SUJAN	10	NOS	Sealing / Rubber Component (Boughtout)
SEALING O RING-ADAPTOR	MB2K-I5-8000-019-000	RUBBER	VITON	SUJAN	300	NOS	Sealing / Rubber Component (Boughtout)
Electrical Connector - FEMALE	D38999/26-S-A-35SN	STD	MIL	AMPHENOL	5	NOS	Electro-Mechanical Component (Boughtout)
M2x16 - Slotted Cheese Head Screws DIN84/ISO1207 A4	SFSCHM2x16D84A4	STD	STD	SPECIALITY FASTNERS	100	NOS	Hardware / Fastener (Boughtout)
M2 - Hexagon Thin Nuts DIN439/ISO4035 A4	SFHTNM2D439A4	STD	STD	SPECIALITY FASTNERS	100	NOS	Hardware / Fastener (Boughtout)
Lead Wiring - GREEN	2D0B-736 (AWG 28/7/36 600 V) - G	STD	MIL	FLU-TEF	100	m	Consumable
